Latitude Longitude Depth Magnitude Strike Dip Rake
8.2792 -83.2249 32.0 4.9 117.0 56.0 105.0
9.7482 -83.9447 15.0 4.1 74.0 89.0 144.0
8.9391 -82.8547 24.0 3.7 89.0 51.0 -70.0
9.8732 -83.8972 1.0 3.3 301.0 90.0 168.0
8.6257 -82.7667 20.0 4.3 282.0 86.0 -5.6
10.3419 -86.4604 36.0 4.9 274.0 75.0 -143.0
9.9193 -82.2028 36.0 4.1 314.0 83.0 -163.0
11.7229 -87.3799 25.0 6.2 323.0 14.0 111.0
8.1071 -82.9594 22.0 4.8 276.0 81.0 2.0
9.9226 -83.448 15.0 3.9 258.0 77.0 5.0
8.9265 -84.0393 15.0 4.3 78.0 46.0 -96.0
9.5393 -84.8615 20.0 4.1 107.0 59.0 -2.0
8.612 -83.3068 18.0 4.9 116.0 50.0 94.0
9.3798 -83.9257 55.0 3.8 116.0 69.0 -98.0
8.94 -82.8418 20.0 4.6 57.0 82.0 38.0
10.0999 -85.7129 27.0 4.9 125.0 61.0 84.0
9.4632 -83.8055 7.0 3.8 236.0 52.0 -46.0
9.4643 -83.7948 8.8 3.2 67.0 89.0 -0.4
10.7547 -86.3026 28.0 5.0 283.0 48.0 74.0
8.791 -83.1078 60.0 4.1 306.0 72.0 -166.0
10.0441 -86.1631 27.0 4.7 83.0 68.0 84.0
9.7146 -85.804 34.0 4.4 282.0 75.0 -159.0
12.3083 -86.6536 114.0 5.4 158.0 64.0 99.0
10.4165 -86.190 32.0 4.6 85.0 55.0 -86.0
9.2923 -84.234 35.0 3.6 289.0 89.0 8.13
7.061 -82.4856 31.0 4.1 75.39 79.51 -4.22
10.154 -83.987 18.0 4.31 40.0 75.0 1.8
9.451 -84.529 20.0 6.38 315.0 20.0 97.1
10.643 -85.0 4.0 4.43 45.0 70.0 -9.8
10.658 -84.963 5.0 4.62 135.0 60.0 172.2
10.665 -84.95 18.0 4.39 60.0 70.0 -42.8
10.612 -84.912 13.0 3.85 85.0 70.0 63.4
8.99 -84.11 13.0 5.45 270.0 45.0 -48.2
9.579 -84.638 14.0 5.95 135.0 70.0 92.4
9.24 -84.232 14.0 5.42 315.0 20.0 120.0
9.152 -83.921 30.0 3.38 115.0 50.0 2.2
9.906 -84.235 6.0 3.79 220.0 55.0 -99.5
8.963 -84.174 12.0 4.35 110.0 85.0 94.9
9.892 -84.562 20.0 3.94 0.0 65.0 -119.5
9.522 -83.65 12.0 4.9 0.0 65.0 -145.3
9.511 -83.667 13.0 3.72 50.0 85.0 17.2
9.488 -83.658 9.0 3.75 5.0 50.0 -130.0
9.267 -84.096 35.0 3.59 5.0 45.0 153.9
9.017 -84.03 21.0 4.17 90.0 50.0 -10.0
10.31 -84.14 93.0 3.76 185.0 15.0 55.9
9.51 -83.749 8.0 3.53 230.0 70.0 -30.3
9.295 -83.736 12.0 3.82 90.0 45.0 63.6
9.295 -83.736 12.0 3.82 90.0 45.0 63.6
9.706 -84.066 8.0 4.01 345.0 60.0 -171.8
10.048 -84.309 50.0 3.77 90.0 70.0 20.0
9.92 -84.42 75.0 3.86 135.0 45.0 75.0
9.274 -83.804 50.0 3.57 90.0 45.0 -70.0
8.639 -82.984 9.0 3.21 240.0 85.0 148.2
9.79 -84.25 60.0 3.5 25.0 60.0 -120.1
10.424 -85.897 23.0 4.0 270.0 20.0 59.8
9.49 -84.87 12.0 3.81 45.0 70.0 121.6
9.312 -84.15 35.0 3.7 15.0 70.0 159.5
9.309 -84.159 31.0 3.86 95.0 60.0 -10.3
9.05 -83.89 30.0 3.95 105.0 70.0 2.3
9.323 -83.977 47.0 4.26 95.0 60.0 -25.8
9.323 -83.977 60.0 3.59 220.0 50.0 -83.3
9.44 -83.72 22.0 3.61 135.0 45.0 139.4
9.448 -83.709 12.0 3.56 85.0 75.0 113.6
8.37 -82.93 90.0 4.46 90.0 45.0 45.0
8.37 -82.93 11.0 3.46 120.0 40.0 49.0
9.03 -84.03 20.0 3.65 115.0 80.0 113.4
9.08 -84.08 30.0 3.79 95.0 75.0 -24.0
9.436 -83.707 9.0 3.43 225.0 70.0 -40.0
9.41 -83.73 18.0 4.27 315.0 80.0 -131.0
9.445 -83.73 4.0 3.8 220.0 70.0 7.4
10.266 -84.098 5.0 3.5 50.0 40.0 -22.3
9.443 -83.731 10.0 3.33 25.0 40.0 107.3
9.442 -83.726 16.0 3.57 40.0 50.0 99.0
9.77 -83.89 8.0 3.29 65.0 75.0 -28.9
9.451 -84.283 23.0 3.63 135.0 75.0 116.1
9.997 -84.05 11.0 4.89 285.0 85.0 177.6
9.68 -86.44 11.0 5.46 310.0 50.0 -87.8
10.09 -85.62 35.0 3.66 270.0 45.0 40.0
9.83 -83.96 50.0 3.4 95.0 40.0 -20.1
10.6 -86.5 45.0 5.07 200.0 55.0 158.9
10.65 -86.5 30.0 4.41 210.0 85.0 149.8
8.308 -84.469 10.0 4.47 60.0 90.0 -164.1
8.97 -82.1 60.0 3.88 110.0 85.0 -131.2
9.633 -84.12 80.0 4.38 265.0 85.0 43.7
10.63 -86.31 34.0 4.82 5.0 80.0 151.2
10.64 -86.31 110.0 4.64 130.0 75.0 1.8
10.136 -83.938 9.0 3.89 85.0 70.0 48.0
